/Reviews,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/text
1,1,1:0,,,今天有幸拿到了港版白色iPhone 5真机，
1,1,1:1,,,试玩了一下，说说感受吧：
1,1,1:2,,,1. 真机尺寸宽度与4/4s保持一致没有变化，
1,1,1:3,,,长度多了大概一厘米，
1,1,1:4,,,也就是之前所说的多了一排的图标。
1,1,1:5,PHONE#DESIGN_FEATURES,positive,2. 真机重量比上一代轻了很多，
1,1,1:6,,,个人感觉跟i9100的重量差不多。
1,1,1:7,,,（用惯上一代的朋友可能需要一段时间适应了）
1,1,1:8,,,3. 由于目前还没有版的SIM卡，
1,1,1:9,,,无法插卡使用，
1,1,1:10,,,有购买的朋友要注意了，
1,1,1:11,,,并非简单的剪卡就可以用，
1,1,1:12,,,而是需要去运营商更换新一代的SIM卡。
1,1,1:13,DISPLAY#QUALITY,positive,4. 屏幕显示效果确实比上一代有进步，
1,1,1:14,,,不论是从清晰度还是不同角度的视角，
1,1,1:15,,,iPhone 5绝对要更上一层，
1,1,1:16,,,我想这也许是相对上一代最有意义的升级了。
1,1,1:17,PORTS#CONNECTIVITY,positive,5. 新的数据接口更小，
1,1,1:18,,,比上一代更好用更方便，
1,1,1:19,,,使用的过程会有这样的体会。
1,1,1:20,CPU#OPERATION_PERFORMANCE,positive,6. 从简单的几个操作来讲速度比4s要快，
1,1,1:21,,,这个不用测试软件也能感受出来，
1,1,1:22,,,比如程序的调用以及照片的拍摄和浏览。
1,1,1:23,,,不过，
1,1,1:24,,,目前水货市场上坑爹的价格，
1,1,1:25,,,最好大家可以再观望一下，
1,1,1:26,,,不要急着出手。
2,2,2:0,,,　1，外观上，
2,2,2:1,,,iPhone5不是用来ZB的，
2,2,2:2,,,所以别人看不看得出来，
2,2,2:3,,,并不是我关心的问题。
2,2,2:4,DISPLAY#QUALITY,positive,4寸的屏幕，
2,2,2:5,,,体验还不错，
2,2,2:6,,,但更轻薄这一点，
2,2,2:7,,,非常喜欢。
2,2,2:8,,,至于所谓的质感，
2,2,2:9,,,跟前后面玻璃的确实有不同，
2,2,2:10,PHONE#DESIGN_FEATURES,positive,但5的手感也是相当的给力，
2,2,2:11,,,比起有些塑料壳子的强不知道多少倍。
2,2,2:12,,,　　2，iOS6在iPhone5上的体验，
2,2,2:13,,,还是相当完善的，
2,2,2:14,,,没有4S的各种闪退。
2,2,2:15,MULTIMEDIA_DEVICES#DESIGN_FEATURES,positive,全景照片真的很爽!
2,2,2:16,MULTIMEDIA_DEVICES#QUALITY,positive,　　3，前置摄像头，
2,2,2:17,,,清晰了很多，
2,2,2:18,,,但用处并不是特别大，
2,2,2:19,,,自拍的癖好木有....
2,2,2:20,MULTIMEDIA_DEVICES#DESIGN_FEATURES,positive,　　4，背面的镜头感觉提升了一些，
2,2,2:21,,,但不太明显，
2,2,2:22,,,不过对于我这种非摄影发烧友，
2,2,2:23,,,足足够够了，
2,2,2:24,,,各位别指望跟单反比，
2,2,2:25,,,要冷静。
2,2,2:26,,,　　5，小接口，
2,2,2:27,,,非常喜欢。
2,2,2:28,,,因为我的周边不多，
2,2,2:29,,,所以几乎不影响。
2,2,2:30,,,小接口没有正反面，
2,2,2:31,,,而且插入的那个感觉还是不错的。
2,2,2:32,,,　　6，电池，
2,2,2:33,,,1天1充，
2,2,2:34,,,这个貌似没什么可抱怨的。
2,2,2:35,POWER_SUPPLY#QUALITY,positive,充电速度很满意，
2,2,2:36,,,另外我有移动电源，
2,2,2:37,,,随时用随时充就可以了。
2,2,2:38,,,　　7，掉漆问题，
2,2,2:39,,,白色的不明显，
2,2,2:40,,,我自己还没发现。
2,2,2:41,,,用的时候略微注意点就好，
2,2,2:42,,,至于半年之后可能掉不掉也不关心了。
2,2,2:43,,,手机是买来用的，
2,2,2:44,,,不是收藏品。
2,2,2:45,,,　　8，网上反馈的那些问题，
2,2,2:46,,,我这里就偶尔出现花屏现象，
2,2,2:47,,,尤其在App Store调用输入法时，
2,2,2:48,,,貌似iOS6的问题，
2,2,2:49,,,等待更新吧。
2,2,2:50,,,其他的均没有发现，
2,2,2:51,,,应该是极小概率事件了。
2,2,2:52,SOFTWARE#DESIGN_FEATURES,positive,　　9，App应用仍然很给力，
2,2,2:53,,,从一个App是否立刻更新支持iPhone5，
2,2,2:54,,,能看出一定的态度。
2,2,2:55,,,当然，
2,2,2:56,,,iPhone5还是小众，
2,2,2:57,,,可以不在乎，
2,2,2:58,,,呵呵。
2,2,2:59,,,　　10，耳机，
2,2,0.125,,,效果不错，
2,2,0.125694444,,,放在耳朵里的感觉也比较舒服，
2,2,0.126388889,,,长时间佩戴无痛感。
3,3,3:0,,,苹果iPhone5新机到手 对比4S使用感受
3,3,3:1,,,1，外观。
3,3,3:2,,,一开始看发布会和网上照片，
3,3,3:3,,,我和大多数人观点一样：
3,3,3:4,,,变化不大，
3,3,3:5,,,有点小失望。
3,3,3:6,,,但是真的把5和4s放在一起，
3,3,3:7,,,就可以发现5还是好看不少。
3,3,3:8,HARDWARE#DESIGN_FEATURES,positive,金属背壳非常有质感，
3,3,3:9,PHONE#QUALITY,positive,加上精良的工艺，
3,3,3:10,,,真的非常耐看。
3,3,3:11,,,2，手感。
3,3,3:12,,,没错，
3,3,3:13,PHONE#DESIGN_FEATURES,positive,这就是我想要的手感，
3,3,3:14,,,轻薄又不失稳重，
3,3,3:15,,,长度对我完全ok，
3,3,3:16,,,而且手握的时候刚好，
3,3,3:17,,,很有安全感，
3,3,3:18,,,回头看反而4s有点握不住要掉的感觉。
3,3,3:19,,,打字的时候食指刚好能按到上沿的锁屏键（手小的mm恐怕做不到）至于侧键和4s一样，
3,3,3:20,,,位置恰到好处。
3,3,3:21,,,装在兜里也十分完美。
3,3,3:22,,,也是这些原因让我果断选择了果奔。
3,3,3:23,OS#OPERATION_PERFORMANCE,positive,3，体验，
3,3,3:24,,,一如既往的好，
3,3,3:25,,,在运行大程序比如无尽之剑，
3,3,3:26,SOFTWARE#DESIGN_FEATURES,positive,3d地图的时候比4s有非常明显的优势，
3,3,3:27,PHONE#OPERATION_PERFORMANCE,positive,所以性能的提升绝对不是纸面数据而已。
3,3,3:28,,,4，ios6，
3,3,3:29,,,相信很多人都升级了，
3,3,3:30,,,所以不多说。
3,3,3:31,SOFTWARE#OPERATION_PERFORMANCE,negative,简单讲siri虽然有时不那么灵，
3,3,3:32,PHONE#DESIGN_FEATURES,positive,也是很实用的功能。
3,3,3:33,,,尤其是开车的时候，
3,3,3:34,,,作用不小。
3,3,3:35,OS#DESIGN_FEATURES,positive,防打扰模式很实用，
3,3,3:36,MULTIMEDIA_DEVICES#DESIGN_FEATURES,positive,照片分享也给力很多。
3,3,3:37,SOFTWARE#DESIGN_FEATURES,negative,地图也经常被吐槽，
3,3,3:39,SOFTWARE#OPERATION_PERFORMANCE,negative,导航延迟有点大，
3,3,3:40,,,总之只能作为辅助工具。
3,3,3:41,MULTIMEDIA_DEVICES#CONNECTIVITY,positive,5，网络，
3,3,3:42,,,lte确实很快，
3,3,3:43,,,信号满格的时候简直像是从硬盘里开东西。
3,3,3:44,PHONE#OPERATION_PERFORMANCE,negative,只是用起来发热有点厉害，
3,3,3:45,,,不敢多用，
3,3,3:46,,,怕伤机器。
3,3,3:47,,,之前有人说iphone5跑流量厉害，
3,3,3:48,,,自己用没发现，
3,3,3:49,,,平时有wifi都是自动走wifi，
3,3,3:50,,,一点不用担心。
3,3,3:51,,,感觉一个月300mb应付一下出门足够了。
3,3,3:52,,,就这些把吧，
3,3,3:53,,,大家有问题可以一起讨论下。
3,3,3:54,,,我不是果粉，
3,3,3:55,,,但是也用了不少苹果的东西，
3,3,3:56,,,感觉iphone5绝对够出色，
3,3,3:57,,,只是不要把苹果当成神。
3,3,3:58,,,理性地想一想，
3,3,3:59,,,现在手机有几款能比iphone更能满足我们对手机的需求呢？
